subject_slug,topic_id,topic_name,qa_file,question_count,difficulty_mix,batch_id,depends_on_batches,status,review_state,owner,notes
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-01-mm-to-metres.md,1,Foundation,0625,,imported,pending,worker_course,Q-ID Q-1.1-01
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-02-km-to-cm.md,1,Foundation,0625,,imported,pending,worker_course,Q-ID Q-1.1-02
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-03-vernier-zero-error.md,1,Standard,0625,,imported,pending,worker_course,Q-ID Q-1.1-03
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-04-micrometer-zero-error.md,1,Standard,0625,,imported,pending,worker_course,Q-ID Q-1.1-04
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-05-pendulum-period.md,1,Standard,0625,,imported,pending,worker_course,Q-ID Q-1.1-05
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-06-average-uncertainty.md,1,Standard,0625,,imported,pending,worker_course,Q-ID Q-1.1-06
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-07-order-lengths.md,1,Challenge,0625,,imported,pending,worker_course,Q-ID Q-1.1-07
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-08-instrument-selection.md,1,Challenge,0625,,imported,pending,worker_course,Q-ID Q-1.1-08
igcse-physics-0625,1.1,"| 1.5 | Density, measuring density of solids and liquids",qa-question-level/Q-1.1-09-sphere-corrected-average.md,1,Challenge,0625,,imported,pending,worker_course,Q-ID Q-1.1-09
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-01-acceleration-calc.md,1,Foundation,0625,,imported,passed,worker_course,Q-ID Q-1.2-01
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-02-cyclist-distance.md,1,Foundation,0625,,imported,passed,worker_course,Q-ID Q-1.2-02
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-03-graph-calc.md,1,Standard,0625,,imported,passed,worker_course,Q-ID Q-1.2-03
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-04-graph-interpretation.md,1,Standard,0625,,imported,passed,worker_course,Q-ID Q-1.2-04
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-05-ball-upward.md,1,Standard,0625,,imported,passed,worker_course,Q-ID Q-1.2-05
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-06-skydiver-motion.md,1,Standard,0625,,imported,passed,worker_course,Q-ID Q-1.2-06
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-07-speed-vs-velocity.md,1,Challenge,0625,,imported,passed,worker_course,Q-ID Q-1.2-07
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-08-average-speed.md,1,Challenge,0625,,imported,passed,worker_course,Q-ID Q-1.2-08
igcse-physics-0625,1.2,"| 2.2 | Hooke's law, spring constant, force-extension graph",qa-question-level/Q-1.2-09-multi-stage-journey.md,1,Challenge,0625,,imported,passed,worker_course,Q-ID Q-1.2-09
igcse-physics-0625,1.3,,qa-question-level/Q-1.3-01-speed-after-3s.md,1,Foundation,0625,,imported,passed,worker_course,Q-ID Q-1.3-01
igcse-physics-0625,1.3,,qa-question-level/Q-1.3-02-cliff-height.md,1,Foundation,0625,,imported,passed,worker_course,Q-ID Q-1.3-02
