topic,topic_name,core_supplement,depends_on,question_count,difficulty_mix
1.1,"Kinetic particle theory, states of matter",Core,none,9,"F:5|S:3|C:1"
1.2,"Diffusion, dissolving, chromatography",Core,F:2|S:10|C:2,14,"F:7|S:7|C:0"
2.1,"Atomic structure, isotopes",Core,none,11,"F:5|S:5|C:1"
2.2,"The Periodic Table, electronic configuration",Core,2.1,9,"F:2|S:4|C:3"
2.3,"Bonding: ionic, covalent, metallic",Core+Sup,F:2|S:5|C:3, 2.2",10,"F:6|S:4|C:0"
2.4,Structures and properties,Core+Sup,2.3,10,F:0|S:7|C:3
3.1,"Formulae, equations, mole concept",Core,2.1,9,"F:2|S:4|C:3"
3.2,"Mole calculations, reacting masses, % yield, purity",Sup,3.1,19,"F:4|S:14|C:1"
3.3,Empirical and molecular formulae,Sup,3.1,9,"F:2|S:4|C:3"
4.1,Electrolysis: principles and predictions,Core+Sup,2.3,9,"F:2|S:4|C:3"
4.2,"Electrochemical cells, electroplating",Core,4.1,11,"F:6|S:5|C:0"
5.1,Exothermic and endothermic reactions,Core,none,9,"F:2|S:4|C:3"
5.2,"Bond energy calculations, energy diagrams",Sup,5.1,14,"F:5|S:9|C:0"
6.1,Rate of reaction: factors and collision theory,Core+Sup,none,9,"F:1|S:6|C:2"
6.2,"Reversible reactions, equilibrium",Sup,6.1,9,"F:2|S:4|C:3"
6.3,"Redox: oxidation, reduction, oxidising/reducing agents",Core+Sup,3.1,9,"F:2|S:4|C:3"
6.4,Catalysts and enzyme action,Core,6.1,9,"F:2|S:4|C:3"
7.1,"Properties of acids and bases, pH",Core,none,9,"F:2|S:4|C:3"
7.2,"Salt preparation, characteristic properties",Core,7.1,9,"F:2|S:4|C:3"
7.3,Identification of ions and gases,Core,7.2,9,"F:2|S:4|C:3"
8.1,Group 1 metals,Core,2.2,9,"F:2|S:4|C:3"
8.2,"Group I, Group VII, transition elements",Core,8.1,9,"F:2|S:4|C:3"
8.3,Noble gases and uses,Core,8.1,9,"F:2|S:4|C:3"
9.1,Properties and uses of metals,Core,none,9,"F:2|S:4|C:3"
9.2,"Reactivity series, extraction of metals",Core+Sup,6.3,9,"F:2|S:4|C:3"
9.3,"Corrosion, rusting, sacrificial protection",Core,9.2,9,"F:2|S:4|C:3"
10.1,"Air, water, composition and separation",Core,none,9,"F:2|S:4|C:3"
10.2,"Pollution, greenhouse gases, acid rain",Core+Sup,10.1,9,"F:4|S:5|C:0"
11.1,"Fuels, crude oil, alkanes",Core+Sup,2.3,9,"F:4|S:4|C:1"
11.2,"Alkenes, polymers from alkenes",Core+Sup,11.1,9,"F:3|S:5|C:1"
11.3,"Alcohols, carboxylic acids, esters",Sup,11.1,10,"F:5|S:5|C:0"
11.4,"Macromolecules: polymers, proteins, carbohydrates",Sup,"11.2, 11.3",9,"F:3|S:4|C:2"
12.1,"Measurement, purity, separation techniques",Core,F:0|S:14|C:3,17,"F:9|S:8|C:0"
12.2,"Gas collection, rate experiments",Core+Sup,6.1,F:0|S:8|C:3,"F:8|S:3|C:0"
